ID,sex,age,Born in the US? ,num children,Degree,Years of school,Redistribution good,God,Happy,science spending,afterlife
172,female,28,Yes,0,Graduate degree,17,agree,Atheist,Very happy,spending about the right amount,No
173,male,36,Yes,0,Bachelors,18,agree,"Believe, but with some doubts",not too happy,spending too little,Yes
174,female,52,Yes,3,Bachelors,19,disagree,Believe without a doubt,not too happy,spending about the right amount,Yes
175,male,61,Yes,0,Graduate degree,18,agree,"Believe, but with some doubts",pretty happy,spending about the right amount,Yes
176,female,49,Yes,0,High School,12,agree,Belief in a higher power,Very happy,spending about the right amount,Yes
177,male,56,Yes,1,High School,12,agree,Believe without a doubt,pretty happy,spending about the right amount,Yes
178,male,45,Yes,1,High School,12,agree,Believe without a doubt,pretty happy,spending about the right amount,No
179,male,18,Yes,0,Less than High School,11,agree,Believe without a doubt,pretty happy,spending about the right amount,Yes
180,female,37,Yes,0,Graduate degree,19,agree,Belief in a higher power,not too happy,spending too little,Yes
181,male,63,Yes,5,Graduate degree,20,disagree,Believe without a doubt,Very happy,spending about the right amount,Yes
182,female,37,Yes,3,Bachelors,16,disagree,Believe without a doubt,pretty happy,spending too little,Yes
183,female,66,Yes,2,Bachelors,16,agree,"Believe, but with some doubts",pretty happy,spending too little,Yes
184,female,44,Yes,0,Bachelors,16,unsure,"Don't know, no way to find out",Very happy,spending too little,Yes
185,male,59,Yes,2,Graduate degree,18,disagree,"Believe, but with some doubts",Very happy,spending about the right amount,Yes
186,female,53,Yes,3,Associates,14,unsure,Believe without a doubt,pretty happy,spending about the right amount,Yes
187,male,50,Yes,0,Graduate degree,18,agree,Atheist,pretty happy,spending too little,No
188,male,53,Yes,0,Graduate degree,20,disagree,Believe without a doubt,pretty happy,spending about the right amount,Yes
189,female,62,Yes,5,High School,14,agree,Believe without a doubt,not too happy,spending too little,Yes
190,female,44,Yes,4,High School,14,unsure,Believe without a doubt,pretty happy,spending too little,Yes
191,male,60,Yes,3,Bachelors,16,agree,Believe without a doubt,pretty happy,spending about the right amount,Yes
192,male,47,Yes,1,Graduate degree,20,disagree,Believe without a doubt,not too happy,spending too much,Yes
193,female,80,Yes,2,High School,12,disagree,Believe without a doubt,pretty happy,spending too little,Yes
194,male,47,No,7,Bachelors,16,disagree,Believe without a doubt,Very happy,spending about the right amount,Yes
195,female,54,No,2,High School,14,agree,Believe without a doubt,not too happy,spending too little,Yes
196,female,47,Yes,1,High School,14,agree,Believe in god sometimes,not too happy,spending about the right amount,Yes
197,male,57,Yes,2,High School,12,agree,Belief in a higher power,pretty happy,spending too little,No
198,male,41,Yes,2,High School,15,agree,Believe without a doubt,not too happy,spending too little,Yes
199,female,57,Yes,3,Associates,15,agree,"Don't know, no way to find out",pretty happy,spending about the right amount,Yes
200,female,46,Yes,0,High School,12,agree,Belief in a higher power,pretty happy,spending too little,Yes
201,female,81,Yes,6,High School,14,unsure,Believe without a doubt,pretty happy,spending too little,Yes
202,female,35,Yes,0,Graduate degree,16,agree,"Believe, but with some doubts",pretty happy,spending about the right amount,Yes
203,male,57,Yes,2,Associates,14,agree,"Believe, but with some doubts",Very happy,spending too little,Yes
204,female,44,Yes,0,High School,12,agree,Atheist,pretty happy,spending about the right amount,No
205,male,35,Yes,0,Bachelors,16,agree,Atheist,not too happy,spending about the right amount,No
